Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,1/1/2020,0.002028956,0.00202472,0.002033996,0.001965275
DOGE,1/2/2020,0.002051001,0.002029054,0.002075524,0.001967049
DOGE,1/3/2020,0.001982176,0.00205085,0.002055195,0.001948695
DOGE,1/4/2020,0.002035353,0.001982176,0.002050693,0.001953808
DOGE,1/5/2020,0.002059966,0.002035349,0.002102834,0.00199761
DOGE,1/6/2020,0.002086557,0.002059914,0.00212043,0.002016178
DOGE,1/7/2020,0.00211363,0.002086581,0.002170761,0.002050909
DOGE,1/8/2020,0.002129926,0.002113825,0.002196554,0.002100727
DOGE,1/9/2020,0.002135763,0.002130012,0.002251421,0.002046236
DOGE,1/10/2020,0.002114771,0.002135971,0.002201651,0.002026751
DOGE,1/11/2020,0.002188044,0.002115028,0.002243967,0.002092373
DOGE,1/12/2020,0.002176286,0.002188044,0.002259001,0.002123296
DOGE,1/13/2020,0.002208545,0.002176091,0.002256124,0.002129299
DOGE,1/14/2020,0.002144194,0.002208616,0.002251591,0.002128738
DOGE,1/15/2020,0.002295103,0.002144574,0.002388851,0.00211067
DOGE,1/16/2020,0.00238331,0.002295686,0.002505745,0.002294284
DOGE,1/17/2020,0.002337326,0.002382331,0.002386394,0.002256182
DOGE,1/18/2020,0.002492531,0.002336839,0.002537553,0.002300017
DOGE,1/19/2020,0.002510179,0.002492803,0.002560745,0.002411905
DOGE,1/20/2020,0.002382867,0.002519212,0.002626745,0.002336972
DOGE,1/21/2020,0.002402522,0.002383478,0.002417037,0.002339815
DOGE,1/22/2020,0.002353708,0.002404664,0.00240787,0.002320464
DOGE,1/23/2020,0.002335821,0.002353567,0.002403049,0.002311409
DOGE,1/24/2020,0.002244758,0.002335994,0.002393037,0.002193002
DOGE,1/25/2020,0.002272798,0.002244692,0.002284494,0.00217723
DOGE,1/26/2020,0.00224551,0.002272829,0.002273503,0.002188915
DOGE,1/27/2020,0.002274633,0.002245677,0.002302219,0.00219687
DOGE,1/28/2020,0.002348566,0.002272013,0.002426212,0.00224902
DOGE,1/29/2020,0.002401151,0.002348612,0.002427377,0.002347612
DOGE,1/30/2020,0.002397343,0.002401163,0.002490458,0.002341825
DOGE,1/31/2020,0.002434547,0.002397384,0.002445575,0.002332104
DOGE,2/1/2020,0.00239898,0.002435328,0.002454403,0.002344161
DOGE,2/2/2020,0.002416483,0.002398934,0.002429446,0.002356008
DOGE,2/3/2020,0.002509881,0.002387107,0.002532953,0.002354101
DOGE,2/4/2020,0.002415639,0.002450752,0.002555709,0.002409303
DOGE,2/5/2020,0.002493255,0.002412984,0.002535363,0.00238679
DOGE,2/6/2020,0.002533263,0.002493296,0.002684847,0.002476617
DOGE,2/7/2020,0.002631071,0.002535855,0.002713738,0.002517132
DOGE,2/8/2020,0.002796468,0.002631061,0.002814583,0.002627344
DOGE,2/9/2020,0.003165431,0.002796454,0.003303928,0.002717997
DOGE,2/10/2020,0.003226009,0.003165431,0.003650363,0.003048779
DOGE,2/11/2020,0.00295337,0.003225999,0.003316426,0.002852475
